"filename", "language", "Python", "JavaScript", "SCSS", "CSS", "comment", "blank", "total"
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\pl.js", "JavaScript", 0, -43, 0, 0, -1, -5, -49
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\ps.js", "JavaScript", 0, -39, 0, 0, -2, -8, -49
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\pt-BR.js", "JavaScript", 0, -41, 0, 0, -1, -8, -50
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\pt.js", "JavaScript", 0, -35, 0, 0, -1, -8, -44
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\ro.js", "JavaScript", 0, -41, 0, 0, -1, -8, -50
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\ru.js", "JavaScript", 0, -49, 0, 0, -1, -12, -62
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\sk.js", "JavaScript", 0, -56, 0, 0, -2, -5, -63
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\sl.js", "JavaScript", 0, -48, 0, 0, -1, -9, -58
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\sq.js", "JavaScript", 0, -40, 0, 0, -1, -8, -49
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\sr-Cyrl.js", "JavaScript", 0, -46, 0, 0, -1, -12, -59
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\sr.js", "JavaScript", 0, -46, 0, 0, -1, -12, -59
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\sv.js", "JavaScript", 0, -34, 0, 0, -1, -6, -41
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\te.js", "JavaScript", 0, -46, 0, 0, -1, -7, -54
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\th.js", "JavaScript", 0, -33, 0, 0, -1, -6, -40
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\tk.js", "JavaScript", 0, -33, 0, 0, -2, -6, -41
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\tr.js", "JavaScript", 0, -33, 0, 0, -1, -6, -40
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\uk.js", "JavaScript", 0, -44, 0, 0, -1, -2, -47
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\vi.js", "JavaScript", 0, -31, 0, 0, -1, -6, -38
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\zh-CN.js", "JavaScript", 0, -33, 0, 0, -1, -6, -40
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\zh-TW.js", "JavaScript", 0, -30, 0, 0, -1, -6, -37
"d:\UAC TRY-1\static\assets\select2\src\js\select2\keys.js", "JavaScript", 0, -23, 0, 0, 0, -3, -26
"d:\UAC TRY-1\static\assets\select2\src\js\select2\options.js", "JavaScript", 0, -98, 0, 0, -9, -30, -137
"d:\UAC TRY-1\static\assets\select2\src\js\select2\results.js", "JavaScript", 0, -391, 0, 0, -11, -142, -544
"d:\UAC TRY-1\static\assets\select2\src\js\select2\selection\allowClear.js", "JavaScript", 0, -91, 0, 0, -5, -28, -124
"d:\UAC TRY-1\static\assets\select2\src\js\select2\selection\base.js", "JavaScript", 0, -119, 0, 0, -18, -42, -179
"d:\UAC TRY-1\static\assets\select2\src\js\select2\selection\clickMask.js", "JavaScript", 0, -22, 0, 0, 0, -8, -30
"d:\UAC TRY-1\static\assets\select2\src\js\select2\selection\eventRelay.js", "JavaScript", 0, -34, 0, 0, -4, -11, -49
"d:\UAC TRY-1\static\assets\select2\src\js\select2\selection\multiple.js", "JavaScript", 0, -114, 0, 0, -2, -40, -156
"d:\UAC TRY-1\static\assets\select2\src\js\select2\selection\placeholder.js", "JavaScript", 0, -43, 0, 0, 0, -16, -59
"d:\UAC TRY-1\static\assets\select2\src\js\select2\selection\search.js", "JavaScript", 0, -164, 0, 0, -24, -55, -243
"d:\UAC TRY-1\static\assets\select2\src\js\select2\selection\selectionCss.js", "JavaScript", 0, -16, 0, 0, 0, -8, -24
"d:\UAC TRY-1\static\assets\select2\src\js\select2\selection\single.js", "JavaScript", 0, -80, 0, 0, -3, -26, -109
"d:\UAC TRY-1\static\assets\select2\src\js\select2\selection\stopPropagation.js", "JavaScript", 0, -33, 0, 0, 0, -6, -39
"d:\UAC TRY-1\static\assets\select2\src\js\select2\translation.js", "JavaScript", 0, -26, 0, 0, -1, -10, -37
"d:\UAC TRY-1\static\assets\select2\src\js\select2\utils.js", "JavaScript", 0, -235, 0, 0, -28, -88, -351
"d:\UAC TRY-1\static\assets\select2\src\js\wrapper.end.js", "JavaScript", 0, -4, 0, 0, -6, -3, -13
"d:\UAC TRY-1\static\assets\select2\src\js\wrapper.start.js", "JavaScript", 0, -21, 0, 0, -17, 0, -38
"d:\UAC TRY-1\static\assets\select2\src\scss\_dropdown.scss", "SCSS", 0, 0, -55, 0, 0, -19, -74
"d:\UAC TRY-1\static\assets\select2\src\scss\_multiple.scss", "SCSS", 0, 0, -38, 0, 0, -8, -46
"d:\UAC TRY-1\static\assets\select2\src\scss\_single.scss", "SCSS", 0, 0, -29, 0, 0, -8, -37
"d:\UAC TRY-1\static\assets\select2\src\scss\core.scss", "SCSS", 0, 0, -41, 0, -1, -9, -51
"d:\UAC TRY-1\static\assets\select2\src\scss\mixins\_gradients.scss", "SCSS", 0, 0, -7, 0, -5, -2, -14
"d:\UAC TRY-1\static\assets\select2\src\scss\theme\classic\_defaults.scss", "SCSS", 0, 0, -21, 0, 0, -14, -35
"d:\UAC TRY-1\static\assets\select2\src\scss\theme\classic\_multiple.scss", "SCSS", 0, 0, -81, 0, 0, -22, -103
"d:\UAC TRY-1\static\assets\select2\src\scss\theme\classic\_single.scss", "SCSS", 0, 0, -94, 0, 0, -32, -126
"d:\UAC TRY-1\static\assets\select2\src\scss\theme\classic\layout.scss", "SCSS", 0, 0, -50, 0, 0, -13, -63
"d:\UAC TRY-1\static\assets\select2\src\scss\theme\default\_multiple.scss", "SCSS", 0, 0, -104, 0, -4, -24, -132
